,deaths,dateRep
1635,0,2020-01-21
3186,3,2020-01-21
13542,0,2020-01-21
5278,0,2020-01-21
5694,0,2020-01-21
2724,0,2020-01-21
15199,0,2020-01-21
10298,0,2020-01-21
4371,0,2020-01-21
7633,0,2020-01-21
3185,11,2020-01-22
6817,0,2020-01-22
10297,0,2020-01-22
14028,0,2020-01-22
7632,0,2020-01-22
1634,0,2020-01-22
13541,0,2020-01-22
12198,0,2020-01-22
9509,0,2020-01-22
7070,0,2020-01-22
15015,0,2020-01-22
2158,0,2020-01-22
2723,0,2020-01-22
5693,0,2020-01-22
5277,0,2020-01-22
15198,0,2020-01-22
13898,0,2020-01-22
4370,0,2020-01-22
1633,0,2020-01-23
7069,0,2020-01-23
9508,0,2020-01-23
4369,0,2020-01-23
13540,0,2020-01-23
6816,0,2020-01-23
14027,0,2020-01-23
7631,0,2020-01-23
2722,0,2020-01-23
2157,0,2020-01-23
15014,0,2020-01-23
5692,0,2020-01-23
13897,0,2020-01-23
15197,0,2020-01-23
10296,0,2020-01-23
12197,0,2020-01-23
5276,0,2020-01-23
3184,0,2020-01-23
4368,0,2020-01-24
15013,0,2020-01-24
13896,0,2020-01-24
14026,0,2020-01-24
2721,0,2020-01-24
7630,0,2020-01-24
15196,0,2020-01-24
2156,0,2020-01-24
3183,9,2020-01-24
5691,0,2020-01-24
5275,0,2020-01-24
1632,0,2020-01-24
9507,0,2020-01-24
12196,0,2020-01-24
13539,0,2020-01-24
10295,0,2020-01-24
7068,0,2020-01-24
6815,0,2020-01-24
5690,0,2020-01-25
2720,0,2020-01-25
3182,15,2020-01-25
10294,0,2020-01-25
15012,0,2020-01-25
6814,0,2020-01-25
5274,0,2020-01-25
2155,0,2020-01-25
1631,0,2020-01-25
12195,0,2020-01-25
7067,0,2020-01-25
9506,0,2020-01-25
13895,0,2020-01-25
15195,0,2020-01-25
13538,0,2020-01-25
7629,0,2020-01-25
4367,0,2020-01-25
14025,0,2020-01-25
3181,15,2020-01-26
14024,0,2020-01-26
15011,0,2020-01-26
7066,0,2020-01-26
15194,0,2020-01-26
12194,0,2020-01-26
9505,0,2020-01-26
13537,0,2020-01-26
1630,0,2020-01-26
6813,0,2020-01-26
5689,0,2020-01-26
2719,0,2020-01-26
7628,0,2020-01-26
4366,0,2020-01-26
2154,0,2020-01-26
5273,0,2020-01-26
13894,0,2020-01-26
10293,0,2020-01-26
12193,0,2020-01-27
3180,25,2020-01-27
5272,0,2020-01-27
4365,0,2020-01-27
13536,0,2020-01-27
15010,0,2020-01-27
10292,0,2020-01-27
13893,0,2020-01-27
2153,0,2020-01-27
7627,0,2020-01-27
14023,0,2020-01-27
2718,0,2020-01-27
6812,0,2020-01-27
1629,0,2020-01-27
5688,0,2020-01-27
7065,0,2020-01-27
15193,0,2020-01-27
9504,0,2020-01-27
12192,0,2020-01-28
2152,0,2020-01-28
2717,0,2020-01-28
15192,0,2020-01-28
15009,0,2020-01-28
7064,0,2020-01-28
5687,0,2020-01-28
9503,0,2020-01-28
14022,0,2020-01-28
6811,0,2020-01-28
10291,0,2020-01-28
3179,25,2020-01-28
1628,0,2020-01-28
5271,0,2020-01-28
13892,0,2020-01-28
13535,0,2020-01-28
4364,0,2020-01-28
7626,0,2020-01-28
12191,0,2020-01-29
15008,0,2020-01-29
4363,0,2020-01-29
13534,0,2020-01-29
6810,0,2020-01-29
15191,0,2020-01-29
5686,0,2020-01-29
9502,0,2020-01-29
2151,0,2020-01-29
13891,0,2020-01-29
7625,0,2020-01-29
10290,0,2020-01-29
2716,0,2020-01-29
7063,0,2020-01-29
14021,0,2020-01-29
1627,0,2020-01-29
5270,0,2020-01-29
3178,26,2020-01-29
13533,0,2020-01-30
14020,0,2020-01-30
1626,0,2020-01-30
15190,0,2020-01-30
7062,0,2020-01-30
13890,0,2020-01-30
2150,0,2020-01-30
7624,0,2020-01-30
15007,0,2020-01-30
2715,0,2020-01-30
10289,0,2020-01-30
12190,0,2020-01-30
5685,0,2020-01-30
6809,0,2020-01-30
9501,0,2020-01-30
5269,0,2020-01-30
4362,0,2020-01-30
3177,38,2020-01-30
5268,0,2020-01-31
2714,0,2020-01-31
5684,0,2020-01-31
15189,0,2020-01-31
15006,0,2020-01-31
7623,0,2020-01-31
2149,0,2020-01-31
14019,0,2020-01-31
9500,0,2020-01-31
10288,0,2020-01-31
1625,0,2020-01-31
3176,43,2020-01-31
13889,0,2020-01-31
7061,0,2020-01-31
6808,0,2020-01-31
13532,0,2020-01-31
12189,0,2020-01-31
4361,0,2020-01-31
5267,0,2020-02-01
1624,0,2020-02-01
9499,0,2020-02-01
14018,0,2020-02-01
12188,0,2020-02-01
15188,0,2020-02-01
10287,0,2020-02-01
13531,0,2020-02-01
4360,0,2020-02-01
2713,0,2020-02-01
7622,0,2020-02-01
13888,0,2020-02-01
5683,0,2020-02-01
15005,0,2020-02-01
3175,46,2020-02-01
2148,0,2020-02-01
7060,0,2020-02-01
6807,0,2020-02-01
12187,0,2020-02-02
6806,0,2020-02-02
15004,0,2020-02-02
14017,0,2020-02-02
5682,0,2020-02-02
3174,45,2020-02-02
5266,0,2020-02-02
2712,0,2020-02-02
10286,0,2020-02-02
15187,0,2020-02-02
7059,0,2020-02-02
2147,0,2020-02-02
13530,0,2020-02-02
4359,0,2020-02-02
7621,0,2020-02-02
9498,0,2020-02-02
1623,0,2020-02-02
13887,0,2020-02-02
5265,0,2020-02-03
15003,0,2020-02-03
3173,57,2020-02-03
15186,0,2020-02-03
7058,0,2020-02-03
2711,0,2020-02-03
4358,0,2020-02-03
9497,0,2020-02-03
10285,0,2020-02-03
12186,0,2020-02-03
6805,0,2020-02-03
5681,0,2020-02-03
1622,0,2020-02-03
13886,0,2020-02-03
7620,0,2020-02-03
2146,0,2020-02-03
14016,0,2020-02-03
13529,0,2020-02-03
13528,0,2020-02-04
2710,0,2020-02-04
12185,0,2020-02-04
15185,0,2020-02-04
5264,0,2020-02-04
2145,0,2020-02-04
15002,0,2020-02-04
5680,0,2020-02-04
13885,0,2020-02-04
9496,0,2020-02-04
4357,0,2020-02-04
7619,0,2020-02-04
1621,0,2020-02-04
10284,0,2020-02-04
6804,0,2020-02-04
3172,65,2020-02-04
14015,0,2020-02-04
7057,0,2020-02-04
5679,0,2020-02-05
10283,0,2020-02-05
6803,0,2020-02-05
7618,0,2020-02-05
13527,0,2020-02-05
7056,0,2020-02-05
1620,0,2020-02-05
15001,0,2020-02-05
13884,0,2020-02-05
3171,66,2020-02-05
15184,0,2020-02-05
14014,0,2020-02-05
12184,0,2020-02-05
2709,0,2020-02-05
2144,0,2020-02-05
5263,0,2020-02-05
9495,0,2020-02-05
4356,0,2020-02-05
2708,0,2020-02-06
5262,0,2020-02-06
15000,0,2020-02-06
1619,0,2020-02-06
2143,0,2020-02-06
7055,0,2020-02-06
14013,0,2020-02-06
13883,0,2020-02-06
10282,0,2020-02-06
9494,0,2020-02-06
15183,0,2020-02-06
13526,0,2020-02-06
12183,0,2020-02-06
5678,0,2020-02-06
4355,0,2020-02-06
6802,0,2020-02-06
3170,72,2020-02-06
7617,0,2020-02-06
3169,73,2020-02-07
12182,0,2020-02-07
7616,0,2020-02-07
6801,0,2020-02-07
9493,0,2020-02-07
1618,0,2020-02-07
14012,0,2020-02-07
7054,0,2020-02-07
4354,0,2020-02-07
15182,0,2020-02-07
13525,0,2020-02-07
2707,0,2020-02-07
2142,0,2020-02-07
5677,0,2020-02-07
5261,0,2020-02-07
13882,0,2020-02-07
14999,0,2020-02-07
10281,0,2020-02-07
13881,0,2020-02-08
6800,0,2020-02-08
7615,0,2020-02-08
2706,0,2020-02-08
13524,0,2020-02-08
10280,0,2020-02-08
14011,0,2020-02-08
15181,0,2020-02-08
4353,0,2020-02-08
5260,0,2020-02-08
14998,0,2020-02-08
7053,0,2020-02-08
5676,0,2020-02-08
2141,0,2020-02-08
12181,0,2020-02-08
9492,0,2020-02-08
3168,86,2020-02-08
1617,0,2020-02-08
9491,0,2020-02-09
10279,0,2020-02-09
14010,0,2020-02-09
4352,0,2020-02-09
12180,0,2020-02-09
5259,0,2020-02-09
14997,0,2020-02-09
13880,0,2020-02-09
2140,0,2020-02-09
6799,0,2020-02-09
7052,0,2020-02-09
7614,0,2020-02-09
3167,89,2020-02-09
1616,0,2020-02-09
5675,0,2020-02-09
13523,0,2020-02-09
15180,0,2020-02-09
2705,0,2020-02-09
13522,0,2020-02-10
13879,0,2020-02-10
12179,0,2020-02-10
5674,0,2020-02-10
15179,0,2020-02-10
14009,0,2020-02-10
6798,0,2020-02-10
7051,0,2020-02-10
3166,97,2020-02-10
7613,0,2020-02-10
1615,0,2020-02-10
10278,0,2020-02-10
2704,0,2020-02-10
5258,0,2020-02-10
4351,0,2020-02-10
2139,0,2020-02-10
9490,0,2020-02-10
14996,0,2020-02-10
7612,0,2020-02-11
13521,0,2020-02-11
3165,108,2020-02-11
4350,0,2020-02-11
6797,0,2020-02-11
15178,0,2020-02-11
12178,0,2020-02-11
9489,0,2020-02-11
14995,0,2020-02-11
10277,0,2020-02-11
5257,0,2020-02-11
2138,0,2020-02-11
14008,0,2020-02-11
2703,0,2020-02-11
7050,0,2020-02-11
1614,0,2020-02-11
5673,0,2020-02-11
13878,0,2020-02-11
15177,0,2020-02-12
2702,0,2020-02-12
5672,0,2020-02-12
12177,0,2020-02-12
13520,0,2020-02-12
7611,0,2020-02-12
6796,0,2020-02-12
1613,0,2020-02-12
7049,0,2020-02-12
3164,97,2020-02-12
14007,0,2020-02-12
13877,0,2020-02-12
14994,0,2020-02-12
4349,0,2020-02-12
10276,0,2020-02-12
5256,0,2020-02-12
2137,0,2020-02-12
9488,0,2020-02-12
15176,0,2020-02-13
10275,0,2020-02-13
3163,254,2020-02-13
5255,0,2020-02-13
14993,0,2020-02-13
14006,0,2020-02-13
13519,0,2020-02-13
12176,0,2020-02-13
13876,0,2020-02-13
2136,0,2020-02-13
5671,0,2020-02-13
1612,0,2020-02-13
4348,0,2020-02-13
6795,0,2020-02-13
7048,0,2020-02-13
9487,0,2020-02-13
2701,0,2020-02-13
7610,0,2020-02-13
2135,0,2020-02-14
14992,0,2020-02-14
1611,0,2020-02-14
7609,0,2020-02-14
3162,13,2020-02-14
9486,0,2020-02-14
5670,0,2020-02-14
12175,0,2020-02-14
7047,0,2020-02-14
5254,0,2020-02-14
13875,0,2020-02-14
10274,0,2020-02-14
4347,0,2020-02-14
13518,0,2020-02-14
14005,0,2020-02-14
2700,0,2020-02-14
15175,0,2020-02-14
6794,0,2020-02-14
13517,0,2020-02-15
12174,0,2020-02-15
15174,0,2020-02-15
6793,0,2020-02-15
3161,143,2020-02-15
9485,0,2020-02-15
4346,0,2020-02-15
13874,0,2020-02-15
7608,0,2020-02-15
5253,1,2020-02-15
14004,0,2020-02-15
2699,0,2020-02-15
2134,0,2020-02-15
1610,0,2020-02-15
14991,0,2020-02-15
7046,0,2020-02-15
